,minute,open,high,low,close
0,11/26/2021 12:43,57816.02,57816.02,57785.98,57789.65
1,11/26/2021 12:44,57781.52,57789.56,57749.99,57760.02
2,11/26/2021 12:45,57760.01,57814.84,57750,57772.04
3,11/26/2021 12:46,57768.17,57772.02,57735.73,57736.16
4,11/26/2021 12:47,57735.87,57750.01,57723.22,57737.4
5,11/26/2021 12:48,57737.4,57857.02,57722.89,57835.47
6,11/26/2021 12:49,57835.48,57836.04,57813.62,57830.45
7,11/26/2021 12:50,57830.45,57862.36,57822.62,57853.31
8,11/26/2021 12:51,57849.35,57873.7,57827.61,57853.97
9,11/26/2021 12:52,57853.96,57900,57853.84,57900
10,11/26/2021 12:53,57897.94,57899.52,57853.98,57865.39
11,11/26/2021 12:54,57863.26,57874.44,57850,57850.01
12,11/26/2021 12:55,57850.02,57893.31,57850,57877.23
13,11/26/2021 12:56,57875.26,57886.62,57851.03,57861.53
14,11/26/2021 12:57,57861.54,57867.51,57826.02,57826.08
15,11/26/2021 12:58,57827.51,57833.93,57803.89,57817.03
16,11/26/2021 12:59,57818.36,57854.57,57796.14,57854.57
17,11/26/2021 13:00,57854.58,57858.89,57810.3,57810.3
18,11/26/2021 13:01,57801.41,57812.73,57794.81,57803.01
19,11/26/2021 13:02,57803.01,57803.27,57786.34,57786.77
20,11/26/2021 13:03,57791.7,57800.93,57778.36,57800.93
21,11/26/2021 13:04,57800.93,57803.12,57780.21,57801.25
22,11/26/2021 13:05,57803.12,57846.09,57766.55,57831.75
23,11/26/2021 13:06,57831.75,57831.75,57804.05,57811.66
24,11/26/2021 13:07,57814.88,57889.63,57812.93,57871.35
25,11/26/2021 13:08,57871.35,57881.56,57820.08,57867.27
26,11/26/2021 13:09,57867.26,57872.35,57843.73,57867.81
